rooms,area,pop,pop_dens,frg_pct,emp,tax_income,room_per_m2,luxurious,temporary,furnished,nature,area_cat_ecoded,zurich_city,recidual (error),price,predicted_price,description_raw,bfs_name,postalcode,town
2.0,54,29944,10008.0,32.4584678868,491193.0,85446,27.0,0,0,0,0,2.0,1,909.79,4853,3943.21,«2 Bedroom Apartment Senior Balcony»,Zürich,8004, Zürich
2.0,49,50950,5792.0,32.4584678868,491193.0,85446,24.5,0,0,0,0,0.0,1,1010.7783333333336,4335,3324.2216666666664,«2 Bedroom Apartment Junior Terrace»,Zürich,8003, Zürich
3.0,76,50950,5792.0,32.4584678868,491193.0,85446,25.33,0,0,0,0,2.0,1,864.9233333333336,1970,2834.9233333333336,«3- Zimmerwohnung im Kreis 3 direkt beim Goldbrunnenplatz»,Zürich,8003, Zürich
2.0,41,50950,5792.0,32.4584678868,491193.0,85446,20.5,0,0,0,0,0.0,1,800.94,3930,3129.06,«2 Bedroom Apartment Junior»,Zürich,8045, Zürich
2.5,65,41411,4512.0,32.4584678868,491193.0,85446,26.0,0,0,0,0,2.0,1,902.3549999999996,5900,4997.645,«Serviced 1-bedroom with great view and luxurious interior design»,Zürich,8037, Zürich
2.5,75,41411,4512.0,32.4584678868,491193.0,85446,30.0,0,0,0,0,2.0,1,1063.3000000000002,6900,5836.7,"«""Serviced 1-bedroom apartment: spectacular view & luxurious interior»",Zürich,8037, Zürich
3.5,90,41411,4512.0,32.4584678868,491193.0,85446,25.71,0,1,0,0,2.0,1,924.8649999999998,1750,2674.865,«BEFRISTETES WOHNEN BIS 31. MÄRZ 2024»,Zürich,8049, Zürich
2.5,70,78801,5736.0,32.4584678868,491193.0,85446,28.0,0,0,0,0,2.0,1,1566.8900000000003,5900,4333.11,«Spacious apartment with spectacular view and luxururious design»,Zürich,8057, Zürich
3.5,126,37639,3254.0,32.4584678868,491193.0,85446,36.0,0,0,0,0,1.0,1,1301.2700000000004,6575,5273.73,«Live Above - Exklusive Mietwohnung über dem FIFA World Football Museum»,Zürich,8002, Zürich
2.5,70,39647,2574.0,32.4584678868,491193.0,85446,28.0,0,0,0,0,2.0,1,807.1433333333334,5900,5092.856666666667,"«""Wohnoase im Englisch Viertel - Serviced Apartment in Jugendstil-Villa»",Zürich,8032, Zürich
4.5,137,39647,2574.0,32.4584678868,491193.0,85446,30.44,0,0,0,0,1.0,1,1584.8666666666668,875,2459.866666666667,«HISTORISCH MIT PRIVATER SONNENTERRASSE IM ZENTRUM»,Zürich,8001, Zürich
5.5,200,113173,1662.5973262818,24.535003932,73339.0,70966,36.36,0,0,0,0,1.0,0,879.4233333333332,5600,4720.576666666667,"«RUHIG UND SONNIG, MIT WUNDERSCHÖNER AUSSICHT»",Winterthur,8404, Winterthur
3.5,130,18139,3298.0,29.0313688737,6582.0,113194,37.14,0,0,0,0,1.0,0,1232.4399999999996,6490,5257.56,«Weitblick im neu renovierten 2-Schlafzimmer-Serviced Apartment»,Thalwil,8800, Thalwil
3.5,100,13067,1664.5859872612,26.0580087243,5764.0,171602,28.57,0,0,0,0,2.0,0,801.8566666666666,5550,4748.143333333333,«3 1/2-Zimmer-Wohnung mit Seesicht»,Zollikon,8702, Zollikon
4.5,101,35007,1228.7469287469,23.0096837775,17237.0,79839,22.44,0,0,0,0,1.0,0,860.5901666666664,3210,2349.4098333333336,«Helle und moderne Maisonette-Wohnung mit Galerie»,Uster,8610, Uster
